chain,EL_STR,ELY,H2_STR,DERIV,DERIV2,PRE_SHP,PRE_PPL,POST_SHP,POST_PPL,SHP,SHP_OWN,PPLS,PPL,PPLX,PPLR,ELY_I,DERIV_I,DERIV_I2,FLOW_OUT,CAN_PIPELINE,is_green,is_blue
CH3OH-L__SMR_52%_BF_CH3OHSYN__prod_in_demand,,,,,,CH4-LIQ,CH4-COMP,CH4-RGAS,,CH4-SB,CH4-S,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,SMR52%BF,CH3OHSYN,,CH3OH-L,True,False,True
CH3OH-L__SMR_52%_BF_CH3OHSYN__prod_in_supply,,SMR52%BF,,CH3OHSYN,,,,,,CH3OH-SB,CH3OH-S,,,,,,,,CH3OH-L,False,False,True
CH3OH-L__SMR_52%_CH3OHSYN__prod_in_demand,,,,,,CH4-LIQ,CH4-COMP,CH4-RGAS,,CH4-SB,CH4-S,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,SMR52%,CH3OHSYN,,CH3OH-L,True,False,True
CH3OH-L__SMR_52%_CH3OHSYN__prod_in_supply,,SMR52%,,CH3OHSYN,,,,,,CH3OH-SB,CH3OH-S,,,,,,,,CH3OH-L,False,False,True
CHX-L__ATR_91%_EFUELSYN__prod_in_demand,,,,,,CH4-LIQ,CH4-COMP,CH4-RGAS,,CH4-SB,CH4-S,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,ATR91%,EFUELSYN,,CHX-L,True,False,True
CHX-L__ATR_91%_EFUELSYN__prod_in_supply,,ATR91%,,EFUELSYN,,,,,,SYN-SB,SYN-S,,,,,,,,CHX-L,False,False,True
CHX-L__EFUELSYNC__prod_in_demand,,,,,,CH4-LIQ,CH4-COMP,CH4-RGAS,,CH4-SB,CH4-S,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,,EFUELSYC,,CHX-L,True,False,True
CHX-L__EFUELSYNC__prod_in_supply,,,,EFUELSYC,,,,,,SYN-SB,SYN-S,,,,,,,,CHX-L,False,False,True
CHX-L__SMR_52%_BF_EFUELSYN__prod_in_demand,,,,,,CH4-LIQ,CH4-COMP,CH4-RGAS,,CH4-SB,CH4-S,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,SMR52%BF,EFUELSYN,,CHX-L,True,False,True
CHX-L__SMR_52%_BF_EFUELSYN__prod_in_supply,,SMR52%BF,,EFUELSYN,,,,,,SYN-SB,SYN-S,,,,,,,,CHX-L,False,False,True
CHX-L__SMR_52%_EFUELSYN__prod_in_demand,,,,,,CH4-LIQ,CH4-COMP,CH4-RGAS,,CH4-SB,CH4-S,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,SMR52%,EFUELSYN,,CHX-L,True,False,True
CHX-L__SMR_52%_EFUELSYN__prod_in_supply,,SMR52%,,EFUELSYN,,,,,,SYN-SB,SYN-S,,,,,,,,CHX-L,False,False,True
DRI-S__ATR_91%_DRI__prod_in_demand,,ATR91%,,DRI,,,,,,DRI-SB,,,,,,,,,DRI-S,False,False,True
