key,parameter_code,process_code,flow_code,source_region_code,target_country_code,value,unit,source
"CAPEX,RES-HYBR,,ARG-FOR,",CAPEX,RES-HYBR,,ARG-FOR,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-FUE,",CAPEX,RES-HYBR,,ARG-FUE,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-JUJ,",CAPEX,RES-HYBR,,ARG-JUJ,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-LAR,",CAPEX,RES-HYBR,,ARG-LAR,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-MEN,",CAPEX,RES-HYBR,,ARG-MEN,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-MIS,",CAPEX,RES-HYBR,,ARG-MIS,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-NEG,",CAPEX,RES-HYBR,,ARG-NEG,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-NEU,",CAPEX,RES-HYBR,,ARG-NEU,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-PAM,",CAPEX,RES-HYBR,,ARG-PAM,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-RIO,",CAPEX,RES-HYBR,,ARG-RIO,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-SAF,",CAPEX,RES-HYBR,,ARG-SAF,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-SAJ,",CAPEX,RES-HYBR,,ARG-SAJ,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-SAL,",CAPEX,RES-HYBR,,ARG-SAL,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-SAT,",CAPEX,RES-HYBR,,ARG-SAT,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-TUC,",CAPEX,RES-HYBR,,ARG-TUC,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,AUS,",CAPEX,RES-HYBR,,AUS,,1265.1661751074873,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,BRA,",CAPEX,RES-HYBR,,BRA,,917.2652857240379,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,CHL,",CAPEX,RES-HYBR,,CHL,,1259.124576430002,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,CHN,",CAPEX,RES-HYBR,,CHN,,800.4576103323898,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,COL,",CAPEX,RES-HYBR,,COL,,1186.6608534802729,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,CRI,",CAPEX,RES-HYBR,,CRI,,1147.600698275283,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,DNK,",CAPEX,RES-HYBR,,DNK,,1117.3708673132146,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,DZA,",CAPEX,RES-HYBR,,DZA,,1298.575374233374,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,EGY,",CAPEX,RES-HYBR,,EGY,,1107.0476299758607,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ESP,",CAPEX,RES-HYBR,,ESP,,924.960029310809,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,IDN,",CAPEX,RES-HYBR,,IDN,,1533.0240021148766,USD2021/kW,calculated. PV:  WIND-ON: 
